preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance,awarded_group_size,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Core Enchantment Zone,08-12-2022,3,Awarded,2,08-12-2022,Eightmile/Caroline Zone,3,False,1,August,Friday
Core Enchantment Zone,08-22-2022,8,Awarded,2,06-22-2022,Eightmile/Caroline Zone,8,False,1,August,Monday
Core Enchantment Zone,06-02-2022,3,Awarded,3,06-16-2022,Stuart  Zone,2,False,1,June,Thursday
Snow Zone,08-20-2022,8,Awarded,2,10-08-2022,Snow Zone,8,False,1,August,Saturday
Core Enchantment Zone,09-28-2022,4,Awarded,2,09-29-2022,Core Enchantment Zone,4,False,1,September,Wednesday
Colchuck Zone,07-20-2022,2,Awarded,2,07-20-2022,Stuart  Zone,2,False,1,July,Wednesday
Colchuck Zone,09-25-2022,8,Awarded,2,09-24-2022,Eightmile/Caroline Zone,8,False,1,September,Sunday
Core Enchantment Zone,09-09-2022,6,Awarded,2,08-12-2022,Snow Zone,6,False,1,September,Friday
Core Enchantment Zone,08-10-2022,3,Awarded,2,09-14-2022,Eightmile/Caroline Zone,3,False,1,August,Wednesday
Colchuck Zone,09-19-2022,2,Awarded,2,09-21-2022,Snow Zone,2,False,1,September,Monday
Core Enchantment Zone,09-26-2022,8,Awarded,3,09-28-2022,Snow Zone,8,False,1,September,Monday
Colchuck Zone,07-22-2022,3,Awarded,3,08-05-2022,Snow Zone,3,False,1,July,Friday
Core Enchantment Zone,08-19-2022,6,Awarded,3,08-05-2022,Eightmile/Caroline Zone,6,False,1,August,Friday
Core Enchantment Zone,07-09-2022,2,Awarded,3,07-10-2022,Snow Zone,2,False,1,July,Saturday
Colchuck Zone,05-20-2022,4,Awarded,2,05-27-2022,Colchuck Zone,4,False,1,May,Friday
Core Enchantment Zone,08-22-2022,4,Awarded,2,10-17-2022,Snow Zone,4,False,1,August,Monday
Core Enchantment Zone,06-17-2022,8,Awarded,3,06-17-2022,Snow Zone,8,False,1,June,Friday
Core Enchantment Zone,09-14-2022,6,Awarded,3,09-14-2022,Snow Zone,6,False,1,September,Wednesday
Core Enchantment Zone,06-23-2022,6,Awarded,3,06-02-2022,Snow Zone,2,False,1,June,Thursday
Core Enchantment Zone,09-18-2022,4,Awarded,2,09-25-2022,Core Enchantment Zone,4,False,1,September,Sunday
Core Enchantment Zone,09-12-2022,5,Awarded,2,10-17-2022,Core Enchantment Zone,5,False,1,September,Monday
Core Enchantment Zone,09-21-2022,8,Awarded,3,09-21-2022,Snow Zone,8,False,1,September,Wednesday
Core Enchantment Zone,07-08-2022,5,Awarded,3,07-08-2022,Snow Zone,5,False,1,July,Friday
Core Enchantment Zone,08-16-2022,6,Awarded,3,08-23-2022,Eightmile/Caroline Zone (stock),6,False,1,August,Tuesday
Snow Zone,06-30-2022,8,Awarded,3,06-16-2022,Snow Zone,8,False,1,June,Thursday
Core Enchantment Zone,10-22-2022,2,Awarded,2,10-21-2022,Stuart Zone (stock),2,False,1,October,Saturday
Core Enchantment Zone,07-06-2022,2,Awarded,3,08-10-2022,Snow Zone,2,False,1,July,Wednesday
Colchuck Zone,08-25-2022,8,Awarded,3,10-06-2022,Snow Zone,8,False,1,August,Thursday
Core Enchantment Zone,07-01-2022,2,Awarded,2,07-01-2022,Colchuck Zone,2,False,1,July,Friday
Core Enchantment Zone,09-15-2022,8,Awarded,2,09-22-2022,Eightmile/Caroline Zone,6,False,1,September,Thursday
Core Enchantment Zone,09-12-2022,1,Awarded,2,09-19-2022,Core Enchantment Zone,1,False,1,September,Monday
Core Enchantment Zone,06-12-2022,2,Awarded,3,06-05-2022,Eightmile/Caroline Zone,2,False,1,June,Sunday
Core Enchantment Zone,07-06-2022,2,Awarded,2,06-29-2022,Colchuck Zone,2,False,1,July,Wednesday
Core Enchantment Zone,08-11-2022,5,Awarded,3,09-01-2022,Eightmile/Caroline Zone,6,False,1,August,Thursday
Core Enchantment Zone,08-04-2022,2,Awarded,2,08-11-2022,Snow Zone,2,False,1,August,Thursday
Core Enchantment Zone,06-30-2022,5,Awarded,3,06-29-2022,Core Enchantment Zone,5,False,1,June,Thursday
Core Enchantment Zone,08-29-2022,6,Awarded,2,08-28-2022,Colchuck Zone,8,False,1,August,Monday
Core Enchantment Zone,07-22-2022,4,Awarded,3,09-09-2022,Eightmile/Caroline Zone,6,False,1,July,Friday
Core Enchantment Zone,07-24-2022,2,Awarded,2,08-14-2022,Core Enchantment Zone,2,False,1,July,Sunday
Core Enchantment Zone,08-11-2022,4,Awarded,2,08-11-2022,Snow Zone,4,False,1,August,Thursday
Core Enchantment Zone,06-21-2022,2,Awarded,3,06-21-2022,Stuart  Zone,2,False,1,June,Tuesday
Snow Zone,07-22-2022,6,Awarded,2,07-23-2022,Snow Zone,6,False,1,July,Friday
Snow Zone,06-21-2022,2,Awarded,3,06-02-2022,Snow Zone,2,False,1,June,Tuesday
Stuart  Zone,08-29-2022,2,Awarded,2,08-30-2022,Stuart  Zone,2,False,1,August,Monday
Core Enchantment Zone,07-27-2022,2,Awarded,3,05-26-2022,Core Enchantment Zone,2,False,1,July,Wednesday
Core Enchantment Zone,07-04-2022,2,Awarded,3,05-20-2022,Core Enchantment Zone,2,False,1,July,Monday
Core Enchantment Zone,09-02-2022,2,Awarded,3,10-07-2022,Eightmile/Caroline Zone,2,False,1,September,Friday
Snow Zone,08-03-2022,7,Awarded,2,06-14-2022,Snow Zone,7,False,1,August,Wednesday
Core Enchantment Zone,06-14-2022,4,Awarded,3,06-14-2022,Stuart  Zone,4,False,1,June,Tuesday
Stuart  Zone,07-15-2022,8,Awarded,2,07-14-2022,Stuart  Zone,8,False,1,July,Friday
Eightmile/Caroline Zone,07-18-2022,4,Awarded,2,07-17-2022,Stuart  Zone,4,False,1,July,Monday
Colchuck Zone,09-18-2022,4,Awarded,2,09-18-2022,Eightmile/Caroline Zone,4,False,1,September,Sunday
Stuart  Zone,07-25-2022,3,Awarded,2,08-08-2022,Stuart  Zone,3,False,1,July,Monday
Snow Zone,06-20-2022,2,Awarded,3,06-20-2022,Eightmile/Caroline Zone,2,False,1,June,Monday
Core Enchantment Zone,09-16-2022,8,Awarded,2,09-23-2022,Eightmile/Caroline Zone,8,False,1,September,Friday
Core Enchantment Zone,10-02-2022,3,Awarded,2,10-02-2022,Snow Zone,3,False,1,October,Sunday
Core Enchantment Zone,08-21-2022,2,Awarded,3,08-21-2022,Snow Zone,2,False,1,August,Sunday
Stuart  Zone,08-30-2022,6,Awarded,2,09-26-2022,Eightmile/Caroline Zone,6,False,1,August,Tuesday
Core Enchantment Zone,09-08-2022,6,Awarded,2,08-19-2022,Core Enchantment Zone,6,False,1,September,Thursday
Core Enchantment Zone,09-28-2022,3,Awarded,2,10-12-2022,Core Enchantment Zone,3,False,1,September,Wednesday
Colchuck Zone,08-18-2022,4,Awarded,2,07-26-2022,Eightmile/Caroline Zone,4,False,1,August,Thursday
Snow Zone,07-25-2022,2,Awarded,2,08-01-2022,Snow Zone,2,False,1,July,Monday
Core Enchantment Zone,09-03-2022,2,Awarded,3,10-01-2022,Snow Zone,2,False,1,September,Saturday
Colchuck Zone,06-02-2022,4,Awarded,3,06-16-2022,Stuart  Zone,4,False,1,June,Thursday
Colchuck Zone,07-29-2022,2,Awarded,2,07-15-2022,Colchuck Zone,2,False,1,July,Friday
Core Enchantment Zone,06-13-2022,3,Awarded,2,06-14-2022,Snow Zone,3,False,1,June,Monday
Core Enchantment Zone,10-07-2022,4,Awarded,3,10-09-2022,Colchuck Zone,4,False,1,October,Friday
Core Enchantment Zone,07-06-2022,3,Awarded,3,10-19-2022,Core Enchantment Zone,3,False,1,July,Wednesday
Core Enchantment Zone,09-03-2022,6,Awarded,2,08-27-2022,Snow Zone,6,False,1,September,Saturday
Eightmile/Caroline Zone,06-22-2022,2,Awarded,3,06-08-2022,Snow Zone,2,False,1,June,Wednesday
Core Enchantment Zone,07-26-2022,6,Awarded,3,07-26-2022,Snow Zone,6,False,1,July,Tuesday
Core Enchantment Zone,07-20-2022,8,Awarded,2,10-03-2022,Eightmile/Caroline Zone,8,False,1,July,Wednesday
Core Enchantment Zone,09-30-2022,5,Awarded,2,09-30-2022,Colchuck Zone,5,False,1,September,Friday
Core Enchantment Zone,08-03-2022,1,Awarded,2,08-03-2022,Snow Zone,1,False,1,August,Wednesday
Core Enchantment Zone,10-03-2022,6,Awarded,3,10-11-2022,Stuart Zone (stock),4,False,1,October,Monday
Core Enchantment Zone,08-02-2022,6,Awarded,2,08-23-2022,Core Enchantment Zone,6,False,1,August,Tuesday
Snow Zone,06-16-2022,2,Awarded,3,09-18-2022,Stuart  Zone,2,False,1,June,Thursday
Core Enchantment Zone,07-18-2022,4,Awarded,2,07-17-2022,Snow Zone,4,False,1,July,Monday
Core Enchantment Zone,09-06-2022,8,Awarded,2,09-06-2022,Snow Zone,8,False,1,September,Tuesday
Colchuck Zone,08-06-2022,8,Awarded,3,09-17-2022,Colchuck Zone,8,False,1,August,Saturday
Core Enchantment Zone,09-19-2022,4,Awarded,2,09-26-2022,Snow Zone,4,False,1,September,Monday
Core Enchantment Zone,07-08-2022,6,Awarded,2,07-08-2022,Snow Zone,6,False,1,July,Friday
Core Enchantment Zone,07-09-2022,5,Awarded,2,07-23-2022,Core Enchantment Zone,5,False,1,July,Saturday
Core Enchantment Zone,06-24-2022,4,Awarded,2,09-23-2022,Core Enchantment Zone,4,False,1,June,Friday
Core Enchantment Zone,08-30-2022,8,Awarded,3,08-30-2022,Colchuck Zone,8,False,1,August,Tuesday
Core Enchantment Zone,09-17-2022,2,Awarded,2,10-15-2022,Snow Zone,2,False,1,September,Saturday
Core Enchantment Zone,07-09-2022,8,Awarded,2,07-16-2022,Colchuck Zone,8,False,1,July,Saturday
Core Enchantment Zone,09-26-2022,7,Awarded,2,09-26-2022,Snow Zone,7,False,1,September,Monday
Core Enchantment Zone,09-08-2022,2,Awarded,2,09-01-2022,Core Enchantment Zone,2,False,1,September,Thursday
Core Enchantment Zone,07-07-2022,4,Awarded,2,05-17-2022,Colchuck Zone,5,False,1,July,Thursday
Core Enchantment Zone,09-24-2022,3,Awarded,2,09-25-2022,Core Enchantment Zone,3,False,1,September,Saturday
Core Enchantment Zone,08-02-2022,4,Awarded,2,08-09-2022,Core Enchantment Zone,4,False,1,August,Tuesday
Stuart  Zone,06-27-2022,8,Awarded,3,10-08-2022,Eightmile/Caroline Zone,8,False,1,June,Monday
Core Enchantment Zone,07-08-2022,6,Awarded,2,07-22-2022,Core Enchantment Zone,6,False,1,July,Friday
Colchuck Zone,06-17-2022,8,Awarded,2,07-15-2022,Colchuck Zone,8,False,1,June,Friday
Colchuck Zone,06-13-2022,4,Awarded,3,06-13-2022,Eightmile/Caroline Zone,4,False,1,June,Monday
Core Enchantment Zone,07-10-2022,2,Awarded,3,07-03-2022,Snow Zone,2,False,1,July,Sunday
Core Enchantment Zone,10-10-2022,2,Awarded,3,10-24-2022,Core Enchantment Zone,2,False,1,October,Monday
Colchuck Zone,07-23-2022,3,Awarded,2,07-24-2022,Colchuck Zone,3,False,1,July,Saturday
Core Enchantment Zone,06-24-2022,4,Awarded,2,06-24-2022,Colchuck Zone,4,False,1,June,Friday
Eightmile/Caroline Zone,08-18-2022,4,Awarded,3,08-20-2022,Eightmile/Caroline Zone,4,False,1,August,Thursday
Core Enchantment Zone,07-24-2022,6,Awarded,3,07-24-2022,Eightmile/Caroline Zone (stock),4,False,1,July,Sunday
Core Enchantment Zone,07-14-2022,6,Awarded,2,07-21-2022,Stuart  Zone,6,False,1,July,Thursday
Core Enchantment Zone,09-13-2022,2,Awarded,2,09-19-2022,Eightmile/Caroline Zone,2,False,1,September,Tuesday
Core Enchantment Zone,10-04-2022,6,Awarded,2,10-11-2022,Core Enchantment Zone,6,False,1,October,Tuesday
Core Enchantment Zone,05-26-2022,2,Awarded,2,06-09-2022,Core Enchantment Zone,2,False,1,May,Thursday
Snow Zone,07-07-2022,4,Awarded,2,07-12-2022,Colchuck Zone,4,False,1,July,Thursday
Colchuck Zone,09-07-2022,4,Awarded,3,10-02-2022,Eightmile/Caroline Zone,4,False,1,September,Wednesday
Core Enchantment Zone,05-28-2022,3,Awarded,3,05-30-2022,Core Enchantment Zone,3,False,1,May,Saturday
Core Enchantment Zone,09-23-2022,1,Awarded,3,09-09-2022,Core Enchantment Zone,1,False,1,September,Friday
Core Enchantment Zone,08-08-2022,6,Awarded,2,08-15-2022,Snow Zone,6,False,1,August,Monday
Core Enchantment Zone,07-24-2022,3,Awarded,2,07-24-2022,Colchuck Zone,3,False,1,July,Sunday
Core Enchantment Zone,07-04-2022,1,Awarded,3,07-06-2022,Core Enchantment Zone,1,False,1,July,Monday
Core Enchantment Zone,09-26-2022,6,Awarded,2,10-03-2022,Snow Zone,5,False,1,September,Monday
Core Enchantment Zone,07-28-2022,5,Awarded,2,07-28-2022,Snow Zone,5,False,1,July,Thursday
Core Enchantment Zone,09-27-2022,8,Awarded,2,10-03-2022,Colchuck Zone,8,False,1,September,Tuesday
Snow Zone,09-09-2022,3,Awarded,3,09-17-2022,Snow Zone,3,False,1,September,Friday
Colchuck Zone,07-21-2022,8,Awarded,2,07-21-2022,Snow Zone,8,False,1,July,Thursday
Snow Zone,07-04-2022,8,Awarded,2,07-05-2022,Snow Zone,8,False,1,July,Monday
Core Enchantment Zone,09-19-2022,7,Awarded,3,09-19-2022,Stuart  Zone,7,False,1,September,Monday
Core Enchantment Zone,09-01-2022,2,Awarded,3,10-03-2022,Stuart Zone (stock),3,False,1,September,Thursday
Snow Zone,08-18-2022,2,Awarded,3,08-20-2022,Snow Zone,2,False,1,August,Thursday
Core Enchantment Zone,07-14-2022,4,Awarded,2,07-14-2022,Snow Zone,4,False,1,July,Thursday
Colchuck Zone,10-19-2022,2,Awarded,3,10-25-2022,Colchuck Zone,2,False,1,October,Wednesday
Core Enchantment Zone,08-01-2022,4,Awarded,2,09-12-2022,Eightmile/Caroline Zone,4,False,1,August,Monday
Core Enchantment Zone,08-31-2022,6,Awarded,3,06-01-2022,Eightmile/Caroline Zone,6,False,1,August,Wednesday
Colchuck Zone,07-15-2022,6,Awarded,2,09-30-2022,Snow Zone,6,False,1,July,Friday
Core Enchantment Zone,07-09-2022,2,Awarded,2,07-16-2022,Core Enchantment Zone,2,False,1,July,Saturday
Core Enchantment Zone,06-15-2022,8,Awarded,3,06-15-2022,Stuart  Zone,8,False,1,June,Wednesday
Core Enchantment Zone,06-25-2022,4,Awarded,3,08-13-2022,Eightmile/Caroline Zone,4,False,1,June,Saturday
Core Enchantment Zone,06-28-2022,4,Awarded,3,06-28-2022,Eightmile/Caroline Zone,4,False,1,June,Tuesday
Core Enchantment Zone,09-08-2022,4,Awarded,3,08-03-2022,Eightmile/Caroline Zone,4,False,1,September,Thursday
Core Enchantment Zone,05-27-2022,6,Awarded,2,05-28-2022,Core Enchantment Zone,6,False,1,May,Friday
Core Enchantment Zone,07-28-2022,6,Awarded,3,10-16-2022,Core Enchantment Zone,2,False,1,July,Thursday
Core Enchantment Zone,06-20-2022,2,Awarded,3,06-20-2022,Snow Zone,2,False,1,June,Monday
Core Enchantment Zone,08-11-2022,3,Awarded,2,08-09-2022,Stuart  Zone,3,False,1,August,Thursday
Core Enchantment Zone,07-16-2022,4,Awarded,2,08-13-2022,Snow Zone,4,False,1,July,Saturday
Snow Zone,08-05-2022,8,Awarded,3,06-24-2022,Snow Zone,8,False,1,August,Friday
Core Enchantment Zone,09-22-2022,6,Awarded,2,10-06-2022,Snow Zone,6,False,1,September,Thursday
Colchuck Zone,06-30-2022,8,Awarded,3,06-23-2022,Snow Zone,8,False,1,June,Thursday
Colchuck Zone,06-16-2022,5,Awarded,2,06-26-2022,Snow Zone,5,False,1,June,Thursday
Core Enchantment Zone,08-11-2022,4,Awarded,2,08-18-2022,Core Enchantment Zone,4,False,1,August,Thursday
Core Enchantment Zone,09-07-2022,4,Awarded,3,09-07-2022,Snow Zone,4,False,1,September,Wednesday
Core Enchantment Zone,09-21-2022,5,Awarded,2,09-21-2022,Stuart  Zone,5,False,1,September,Wednesday
Core Enchantment Zone,09-11-2022,8,Awarded,3,09-25-2022,Eightmile/Caroline Zone,8,False,1,September,Sunday
Core Enchantment Zone,06-16-2022,6,Awarded,2,06-23-2022,Stuart  Zone,6,False,1,June,Thursday
Core Enchantment Zone,09-24-2022,4,Awarded,3,09-24-2022,Snow Zone,4,False,1,September,Saturday
Stuart  Zone,08-15-2022,4,Awarded,2,07-26-2022,Stuart  Zone,4,False,1,August,Monday
Snow Zone,09-25-2022,3,Awarded,2,10-09-2022,Snow Zone,3,False,1,September,Sunday
Core Enchantment Zone,07-12-2022,4,Awarded,3,09-02-2022,Snow Zone,8,False,1,July,Tuesday
Core Enchantment Zone,09-12-2022,6,Awarded,3,09-26-2022,Core Enchantment Zone,6,False,1,September,Monday
Core Enchantment Zone,08-13-2022,2,Awarded,3,08-27-2022,Snow Zone,2,False,1,August,Saturday
Snow Zone,09-08-2022,8,Awarded,2,09-16-2022,Eightmile/Caroline Zone,8,False,1,September,Thursday
Core Enchantment Zone,10-04-2022,5,Awarded,2,09-27-2022,Snow Zone,5,False,1,October,Tuesday
Core Enchantment Zone,10-07-2022,2,Awarded,3,10-21-2022,Core Enchantment Zone,2,False,1,October,Friday
Snow Zone,09-09-2022,3,Awarded,2,10-12-2022,Stuart  Zone,2,False,1,September,Friday
Core Enchantment Zone,07-01-2022,6,Awarded,2,06-30-2022,Core Enchantment Zone,2,False,1,July,Friday
Core Enchantment Zone,09-24-2022,8,Awarded,2,10-01-2022,Snow Zone,8,False,1,September,Saturday
Core Enchantment Zone,07-31-2022,8,Awarded,2,09-25-2022,Core Enchantment Zone,8,False,1,July,Sunday
Colchuck Zone,08-18-2022,8,Awarded,2,08-18-2022,Snow Zone,8,False,1,August,Thursday
Colchuck Zone,08-31-2022,2,Awarded,2,05-21-2022,Snow Zone,2,False,1,August,Wednesday
Core Enchantment Zone,08-28-2022,2,Awarded,3,07-31-2022,Eightmile/Caroline Zone,2,False,1,August,Sunday
Colchuck Zone,08-13-2022,8,Awarded,2,08-13-2022,Snow Zone,8,False,1,August,Saturday
Core Enchantment Zone,06-12-2022,2,Awarded,2,06-12-2022,Eightmile/Caroline Zone,2,False,1,June,Sunday
Core Enchantment Zone,06-11-2022,3,Awarded,3,06-21-2022,Stuart  Zone,3,False,1,June,Saturday
Colchuck Zone,10-04-2022,4,Awarded,2,10-11-2022,Snow Zone,4,False,1,October,Tuesday
Core Enchantment Zone,07-25-2022,4,Awarded,2,07-25-2022,Colchuck Zone,4,False,1,July,Monday
Core Enchantment Zone,07-22-2022,4,Awarded,3,08-12-2022,Stuart  Zone,6,False,1,July,Friday
Core Enchantment Zone,09-23-2022,5,Awarded,2,09-30-2022,Core Enchantment Zone,1,False,1,September,Friday
Core Enchantment Zone,09-29-2022,2,Awarded,3,10-13-2022,Core Enchantment Zone,2,False,1,September,Thursday
Core Enchantment Zone,08-14-2022,4,Awarded,3,08-14-2022,Colchuck Zone,4,False,1,August,Sunday
Snow Zone,08-04-2022,6,Awarded,3,08-21-2022,Snow Zone,6,False,1,August,Thursday
Core Enchantment Zone,07-25-2022,6,Awarded,3,05-25-2022,Core Enchantment Zone,6,False,1,July,Monday
Core Enchantment Zone,08-26-2022,8,Awarded,3,08-26-2022,Stuart  Zone,8,False,1,August,Friday
Colchuck Zone,07-19-2022,2,Awarded,3,07-19-2022,Stuart  Zone,2,False,1,July,Tuesday
Core Enchantment Zone,10-11-2022,2,Awarded,3,10-11-2022,Stuart  Zone,8,False,1,October,Tuesday
Core Enchantment Zone,08-28-2022,4,Awarded,3,08-28-2022,Eightmile/Caroline Zone,4,False,1,August,Sunday
Core Enchantment Zone,06-04-2022,8,Awarded,3,07-09-2022,Stuart  Zone,8,False,1,June,Saturday
Core Enchantment Zone,06-08-2022,4,Awarded,3,06-08-2022,Snow Zone,4,False,1,June,Wednesday
Core Enchantment Zone,07-28-2022,3,Awarded,3,09-01-2022,Stuart  Zone,3,False,1,July,Thursday
Colchuck Zone,07-18-2022,8,Awarded,2,07-25-2022,Eightmile/Caroline Zone (stock),8,False,1,July,Monday
Core Enchantment Zone,10-01-2022,2,Awarded,3,10-22-2022,Eightmile/Caroline Zone,2,False,1,October,Saturday
Colchuck Zone,05-28-2022,7,Awarded,2,05-29-2022,Core Enchantment Zone,7,False,1,May,Saturday
Core Enchantment Zone,09-29-2022,8,Awarded,2,08-19-2022,Eightmile/Caroline Zone,8,False,1,September,Thursday
Core Enchantment Zone,10-19-2022,5,Awarded,3,10-19-2022,Colchuck Zone,5,False,1,October,Wednesday
Core Enchantment Zone,07-09-2022,2,Awarded,3,07-14-2022,Snow Zone,2,False,1,July,Saturday
Core Enchantment Zone,09-14-2022,4,Awarded,3,10-13-2022,Snow Zone,4,False,1,September,Wednesday
Snow Zone,07-12-2022,2,Awarded,2,07-19-2022,Snow Zone,2,False,1,July,Tuesday
Colchuck Zone,06-27-2022,7,Awarded,2,06-20-2022,Stuart  Zone,7,False,1,June,Monday
Stuart  Zone,07-01-2022,2,Awarded,3,07-03-2022,Stuart  Zone,2,False,1,July,Friday
Core Enchantment Zone,08-28-2022,8,Awarded,2,08-28-2022,Snow Zone,8,False,1,August,Sunday
Snow Zone,09-10-2022,6,Awarded,2,09-10-2022,Eightmile/Caroline Zone,6,False,1,September,Saturday
Core Enchantment Zone,10-06-2022,8,Awarded,2,10-10-2022,Core Enchantment Zone,8,False,1,October,Thursday
Colchuck Zone,09-23-2022,4,Awarded,3,10-22-2022,Colchuck Zone,4,False,1,September,Friday
Core Enchantment Zone,10-05-2022,8,Awarded,2,10-06-2022,Eightmile/Caroline Zone,8,False,1,October,Wednesday
Core Enchantment Zone,06-04-2022,3,Awarded,2,06-25-2022,Core Enchantment Zone,3,False,1,June,Saturday
Core Enchantment Zone,08-25-2022,7,Awarded,3,10-06-2022,Colchuck Zone,7,False,1,August,Thursday
Core Enchantment Zone,09-12-2022,5,Awarded,3,09-12-2022,Eightmile/Caroline Zone,5,False,1,September,Monday
Core Enchantment Zone,09-02-2022,4,Awarded,3,09-02-2022,Snow Zone,6,False,1,September,Friday
Core Enchantment Zone,05-24-2022,3,Awarded,2,05-31-2022,Colchuck Zone,2,False,1,May,Tuesday
Core Enchantment Zone,07-28-2022,6,Awarded,3,06-09-2022,Eightmile/Caroline Zone,6,False,1,July,Thursday
Core Enchantment Zone,08-30-2022,2,Awarded,3,08-30-2022,Eightmile/Caroline Zone,2,False,1,August,Tuesday
Colchuck Zone,07-16-2022,4,Awarded,3,10-01-2022,Colchuck Zone,4,False,1,July,Saturday
Core Enchantment Zone,08-28-2022,3,Awarded,3,09-18-2022,Core Enchantment Zone,3,False,1,August,Sunday
Eightmile/Caroline Zone,07-19-2022,6,Awarded,3,08-02-2022,Eightmile/Caroline Zone,6,False,1,July,Tuesday
Stuart  Zone,06-04-2022,4,Awarded,2,05-29-2022,Stuart  Zone,4,False,1,June,Saturday
Colchuck Zone,05-16-2022,2,Awarded,3,05-23-2022,Eightmile/Caroline Zone (stock),2,False,1,May,Monday
Core Enchantment Zone,07-20-2022,6,Awarded,3,08-23-2022,Stuart  Zone,6,False,1,July,Wednesday
Stuart  Zone,06-21-2022,2,Awarded,3,06-14-2022,Stuart  Zone,2,False,1,June,Tuesday
Core Enchantment Zone,10-08-2022,3,Awarded,2,10-08-2022,Stuart  Zone,3,False,1,October,Saturday
Core Enchantment Zone,09-26-2022,2,Awarded,3,10-09-2022,Core Enchantment Zone,2,False,1,September,Monday
Core Enchantment Zone,06-14-2022,2,Awarded,3,08-02-2022,Stuart  Zone,2,False,1,June,Tuesday
Core Enchantment Zone,08-28-2022,6,Awarded,2,09-25-2022,Eightmile/Caroline Zone (stock),6,False,1,August,Sunday
Colchuck Zone,07-25-2022,5,Awarded,3,08-29-2022,Eightmile/Caroline Zone (stock),5,False,1,July,Monday
Stuart  Zone,06-20-2022,4,Awarded,3,06-06-2022,Stuart  Zone,4,False,1,June,Monday
Core Enchantment Zone,08-09-2022,8,Awarded,3,08-09-2022,Snow Zone,8,False,1,August,Tuesday
Core Enchantment Zone,06-03-2022,5,Awarded,2,06-10-2022,Snow Zone,5,False,1,June,Friday
Core Enchantment Zone,06-07-2022,4,Awarded,3,06-07-2022,Snow Zone,4,False,1,June,Tuesday
Core Enchantment Zone,09-22-2022,4,Awarded,3,09-22-2022,Stuart  Zone,4,False,1,September,Thursday
Core Enchantment Zone,08-06-2022,4,Awarded,3,08-07-2022,Snow Zone,4,False,1,August,Saturday
Core Enchantment Zone,09-05-2022,4,Awarded,3,09-05-2022,Snow Zone,4,False,1,September,Monday
Colchuck Zone,08-05-2022,6,Awarded,2,07-21-2022,Snow Zone,6,False,1,August,Friday
Core Enchantment Zone,07-21-2022,6,Awarded,2,07-22-2022,Snow Zone,6,False,1,July,Thursday
Colchuck Zone,09-15-2022,8,Awarded,3,09-22-2022,Colchuck Zone,8,False,1,September,Thursday
Colchuck Zone,07-22-2022,5,Awarded,3,07-22-2022,Stuart  Zone,5,False,1,July,Friday
Core Enchantment Zone,10-08-2022,1,Awarded,2,10-01-2022,Core Enchantment Zone,1,False,1,October,Saturday
Core Enchantment Zone,08-26-2022,4,Awarded,3,09-29-2022,Eightmile/Caroline Zone,4,False,1,August,Friday
Core Enchantment Zone,09-11-2022,5,Awarded,2,09-11-2022,Snow Zone,5,False,1,September,Sunday
Core Enchantment Zone,08-09-2022,4,Awarded,3,08-10-2022,Core Enchantment Zone,2,False,1,August,Tuesday
Colchuck Zone,05-28-2022,2,Awarded,2,07-06-2022,Colchuck Zone,2,False,1,May,Saturday
Colchuck Zone,06-07-2022,8,Awarded,2,06-06-2022,Stuart  Zone,8,False,1,June,Tuesday
Core Enchantment Zone,06-24-2022,2,Awarded,2,08-19-2022,Stuart  Zone,2,False,1,June,Friday
Core Enchantment Zone,10-28-2022,6,Awarded,3,10-28-2022,Snow Zone,6,False,1,October,Friday
Core Enchantment Zone,10-05-2022,2,Awarded,2,10-05-2022,Snow Zone,2,False,1,October,Wednesday
Core Enchantment Zone,09-15-2022,8,Awarded,2,09-15-2022,Snow Zone,8,False,1,September,Thursday
Colchuck Zone,08-17-2022,4,Awarded,2,08-24-2022,Eightmile/Caroline Zone,4,False,1,August,Wednesday
Colchuck Zone,07-14-2022,4,Awarded,2,07-19-2022,Eightmile/Caroline Zone,4,False,1,July,Thursday
Colchuck Zone,10-21-2022,3,Awarded,3,10-28-2022,Colchuck Zone,3,False,1,October,Friday
Colchuck Zone,07-13-2022,4,Awarded,3,09-21-2022,Colchuck Zone,4,False,1,July,Wednesday
Core Enchantment Zone,09-22-2022,5,Awarded,3,10-13-2022,Core Enchantment Zone,5,False,1,September,Thursday
Snow Zone,07-05-2022,4,Awarded,3,05-29-2022,Snow Zone,4,False,1,July,Tuesday
Core Enchantment Zone,08-22-2022,4,Awarded,2,09-22-2022,Colchuck Zone,3,False,1,August,Monday
Core Enchantment Zone,07-10-2022,4,Awarded,2,07-11-2022,Core Enchantment Zone,4,False,1,July,Sunday
Colchuck Zone,08-04-2022,8,Awarded,3,08-04-2022,Stuart  Zone,8,False,1,August,Thursday
Core Enchantment Zone,06-11-2022,4,Awarded,2,06-13-2022,Core Enchantment Zone,4,False,1,June,Saturday
Core Enchantment Zone,10-13-2022,5,Awarded,3,10-01-2022,Snow Zone,5,False,1,October,Thursday
Snow Zone,07-25-2022,8,Awarded,2,07-18-2022,Snow Zone,8,False,1,July,Monday
Core Enchantment Zone,08-24-2022,6,Awarded,2,08-24-2022,Colchuck Zone,8,False,1,August,Wednesday
